exp_id,results_dir,dummy,config_id,benchmark,source,engine,kafkas,cloud,vmtype,instances,max_resources
5,results-gcp2,false,1,uc3,http,flink,3,gcp,e2-standard-4,2,2
6,results-gcp2,false,1,uc3,http,flink,3,gcp,e2-standard-4,3,5
7,results-gcp2,false,1,uc3,http,flink,3,gcp,e2-standard-4,4,null
52,results-gcp,false,10,uc3,http,samza,3,gcp,e2-standard-4,2,3
49,results-gcp,false,10,uc3,http,samza,3,gcp,e2-standard-4,3,7
48,results-gcp,false,10,uc3,http,samza,3,gcp,e2-standard-4,4,null
1,results-aws,false,8,uc3,http,flink,3,aws,m5.xlarge,2,4
2,results-aws,false,8,uc3,http,flink,3,aws,m5.xlarge,3,8
4,results-aws,false,8,uc3,http,flink,3,aws,m5.xlarge,4,null
9,results-aws,false,9,uc1,http,flink,3,aws,m5.xlarge,2,null
9,results-gcp2,false,3,uc1,http,flink,3,gcp,e2-standard-4,2,3
14,results-gcp2,false,3,uc1,http,flink,3,gcp,e2-standard-4,3,6
16,results-gcp2,false,3,uc1,http,flink,3,gcp,e2-standard-4,4,null
25,results-gcp2,false,4,uc1,pubsub,flink,0,gcp,e2-standard-4,2,5
28,results-gcp2,false,4,uc1,pubsub,flink,0,gcp,e2-standard-4,2,5
29,results-gcp2,false,4,uc1,pubsub,flink,0,gcp,e2-standard-4,3,8
30,results-gcp2,false,4,uc1,pubsub,flink,0,gcp,e2-standard-4,4,11
8999,results-gcp2,true,4,uc1,pubsub,flink,0,gcp,e2-standard-4,5,null
42,results-gcp2,false,5,uc3,pubsub,flink,0,gcp,e2-standard-4,2,4
46,results-gcp2,false,5,uc3,pubsub,flink,0,gcp,e2-standard-4,3,7
48,results-gcp2,false,5,uc3,pubsub,flink,0,gcp,e2-standard-4,4,null
50,results-gcp2,false,6,uc3,pubsub,dataflow,0,gcp,e2-standard-4,0,null
59,results-gcp2,false,6,uc3,pubsub,dataflow,0,gcp,n1-standard-1,0,null
64,results-gcp2,false,7,uc1,pubsub,dataflow,0,gcp,e2-standard-4,0,null
66,results-gcp2,false,7,uc1,pubsub,dataflow,0,gcp,n1-standard-1,0,null
57,results-gcp,false,11,uc1,http,samza,3,gcp,e2-standard-4,3,7
58,results-gcp,false,11,uc1,http,samza,3,gcp,e2-standard-4,4,11
59,results-gcp,false,11,uc1,http,samza,3,gcp,e2-standard-4,5,15
8890,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,6,19
8891,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,7,23
8892,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,8,27
8893,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,9,31
8894,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,10,35
8895,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,11,39
8896,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,12,43
8897,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,13,47
8898,results-gcp,true,11,uc1,http,samza,3,gcp,e2-standard-4,14,51
